Segment,Cohort,Metric,MOB_Start,MOB_End,Approach,Param1,Param2,Explanation
NON PRIME,201912,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,201912,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,201912,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,201912,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,201912,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,201912,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,201912,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,201912,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,201912,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202001,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202001,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202001,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202001,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202001,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202001,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202001,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202001,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202001,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202101,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202101,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202101,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202101,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202101,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202101,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202101,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202101,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202101,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202201,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202201,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202201,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202201,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202201,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202201,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202201,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202201,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202201,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202301,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202301,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202301,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202301,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202301,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202301,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202301,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202301,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202301,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202404,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202404,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202404,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202404,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202404,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202404,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202404,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202404,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202404,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202405,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202405,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202405,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202405,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202405,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202405,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202405,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202405,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202405,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202406,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202406,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202406,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202406,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202406,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202406,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202406,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202406,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202406,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202407,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202407,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202407,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202407,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202407,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202407,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202407,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202407,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202407,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202408,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202408,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202408,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202408,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202408,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202408,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202408,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202408,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202408,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202409,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202409,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202409,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202409,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202409,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202409,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202409,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202409,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202409,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202410,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202410,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202410,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202410,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202410,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202410,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202410,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202410,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202410,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202411,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202411,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202411,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202411,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202411,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202411,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202411,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202411,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202411,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202412,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202412,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202412,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202412,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202412,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202412,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202412,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202412,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202412,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202501,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202501,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202501,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202501,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202501,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202501,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202501,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202501,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202501,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202502,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202502,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202502,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202502,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202502,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202502,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202502,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202502,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202502,InterestRevenue,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202503,Coll_Principal,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202503,Coll_Principal,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202503,Coll_Principal,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202503,Coll_Interest,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202503,Coll_Interest,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
NON PRIME,202503,Coll_Interest,37,999,StaticCohortAvg,12,,Late regime tail cap using actual-only cohort points
NON PRIME,202503,InterestRevenue,1,12,StaticCohortAvg,3,,Early regime using recent actual-only cohort points
NON PRIME,202503,InterestRevenue,13,36,StaticCohortAvg,6,,Mid regime using actual-only cohort points
