Segment,Cohort,Forecast,Actual,Variance,AbsVariance
NON PRIME,202507,-1450531.67,-1211163.56,-239368.11,239368.11
NON PRIME,202509,-1180602.5499999998,-948492.13,-232110.41999999998,232110.41999999998
NRP-M,202101,-627771.0,-399033.87,-228737.13,228737.13
PRIME,202101,-672659.0900000001,-467537.6,-205121.49,205121.49
NRP-M,202301,-943971.7,-778479.95,-165491.75,165491.75
NON PRIME,202506,-1155015.57,-1024455.9299999999,-130559.64,130559.64
NON PRIME,202508,-1079612.99,-953136.62,-126476.37,126476.37
NRP-S,202101,-417038.81999999995,-291056.33999999997,-125982.48,125982.48
NRP-M,202508,-381425.24,-271545.55,-109879.69,109879.69
NON PRIME,202503,-803944.7,-714462.87,-89481.83,89481.83
NON PRIME,202412,-418918.08,-505110.6,86192.52,86192.52
NRP-M,202410,-171077.97,-253922.88,82844.91,82844.91
NRP-M,202407,-229982.91999999998,-312778.71,82795.79000000001,82795.79000000001
NON PRIME,202505,-1035530.87,-955323.76,-80207.11,80207.11
NRP-M,202505,-370020.98,-291963.47,-78057.51,78057.51
NRP-S,202301,-675468.53,-601759.24,-73709.29000000001,73709.29000000001
NRP-L,202409,-25827.989999999998,-76793.93,50965.939999999995,50965.939999999995
NRP-M,202507,-412932.92,-362480.16000000003,-50452.759999999995,50452.759999999995
NON PRIME,202411,-387490.03,-437050.93,49560.9,49560.9
NRP-M,202409,-188305.37,-236996.12,48690.75,48690.75
NON PRIME,202501,-465014.73,-509308.2,44293.469999999994,44293.469999999994
NRP-M,202411,-186609.28,-230401.7,43792.42,43792.42
NON PRIME,202301,-1086011.7,-1044426.73,-41584.97,41584.97
NRP-M,202501,-291395.22,-330618.65,39223.43,39223.43
NON PRIME,202504,-986831.7,-948046.5800000001,-38785.12,38785.12
NRP-M,202405,-146724.35,-185108.82,38384.47,38384.47
NRP-S,202505,-263390.95,-226674.77,-36716.18,36716.18
NRP-L,202301,-68516.54000000001,-31974.59,-36541.95,36541.95
NRP-S,202506,-283751.12,-251610.76,-32140.36,32140.36
NRP-M,202412,-180674.56,-148866.0,-31808.56,31808.56
NRP-S,202509,-286757.17000000004,-254955.56,-31801.61,31801.61
NON PRIME,202408,-316932.1,-285167.44,-31764.66,31764.66
NRP-M,202506,-281256.26,-252830.06,-28426.199999999997,28426.199999999997
NRP-M,202408,-162941.97,-188908.75,25966.78,25966.78
NRP-M,202503,-306219.55000000005,-330996.21,24776.659999999996,24776.659999999996
NRP-S,202503,-253727.34,-229770.56,-23956.780000000002,23956.780000000002
NON PRIME,202409,-311614.08999999997,-288104.08,-23510.010000000002,23510.010000000002
NON PRIME,202201,-236319.26,-213715.68,-22603.579999999998,22603.579999999998
NRP-L,202411,-19005.37,-41274.41,22269.04,22269.04
NRP-L,202407,-38363.259999999995,-16289.05,-22074.21,22074.21
NRP-M,202502,-266073.11,-246580.95,-19492.160000000003,19492.160000000003
NRP-L,202404,-29014.18,-9648.0,-19366.18,19366.18
NON PRIME,202101,17143.39,-2113.0800000000004,19256.47,19256.47
NRP-S,202406,-116333.21,-134147.45,17814.239999999998,17814.239999999998
NRP-S,202410,-116649.06,-99474.32,-17174.74,17174.74
NRP-S,202201,-77844.64,-94999.44,17154.8,17154.8
NRP-L,202405,-36406.6,-53416.33,17009.73,17009.73
NRP-S,202409,-123364.23000000001,-108562.73000000001,-14801.5,14801.5
PRIME,202201,-13289.57,-27295.7,14006.130000000001,14006.130000000001
NON PRIME,202406,-266614.23,-254005.81,-12608.42,12608.42
NRP-L,202507,-2902.25,-15032.9,12130.65,12130.65
NRP-L,202503,-6678.67,-18709.91,12031.24,12031.24
NON PRIME,202407,-297660.64,-285645.04000000004,-12015.599999999999,12015.599999999999
NRP-M,202504,-379908.24,-391687.39,11779.150000000001,11779.150000000001
NRP-S,202507,-293645.12,-282189.66000000003,-11455.46,11455.46
NRP-L,202406,-13223.17,-24388.809999999998,11165.64,11165.64
NRP-L,202408,-42781.81,-31865.84,-10915.970000000001,10915.970000000001
NRP-S,202501,-229251.31,-218826.14,-10425.170000000002,10425.170000000002
NRP-L,202410,-15186.11,-25461.7,10275.59,10275.59
NON PRIME,202404,-186346.09,-177904.14,-8441.95,8441.95
NRP-S,202404,-105063.95,-113089.10999999999,8025.160000000001,8025.160000000001
NRP-S,202412,-141077.73,-133431.2,-7646.529999999999,7646.529999999999
NRP-M,202509,-353924.12,-346567.33999999997,-7356.779999999999,7356.779999999999
NRP-S,202411,-136183.53,-128875.19,-7308.34,7308.34
NRP-S,202504,-234931.56,-241698.27,6766.709999999999,6766.709999999999
NON PRIME,202405,-206860.47,-200287.85,-6572.620000000001,6572.620000000001
NRP-M,202201,-23996.61,-30376.510000000002,6379.9,6379.9
NRP-S,202408,-123232.57,-129120.33,5887.76,5887.76
NRP-S,202508,-277304.69,-272051.15,-5253.539999999999,5253.539999999999
NRP-S,202405,-101706.04000000001,-96785.04000000001,-4921.0,4921.0
NON PRIME,202001,5534.48,1570.6100000000001,3963.87,3963.87
NRP-S,201912,-4286.4,-503.24,-3783.16,3783.16
NON PRIME,201912,13549.73,10375.23,3174.5,3174.5
NRP-S,202502,-250319.52000000002,-247328.22999999998,-2991.289999999999,2991.289999999999
NRP-M,202406,-163991.78999999998,-161160.90999999997,-2830.879999999999,2830.879999999999
NRP-L,202504,-4640.28,-2379.63,-2260.6499999999996,2260.6499999999996
NRP-S,202001,-2302.38,-135.3,-2167.08,2167.08
NRP-S,202407,-117500.5,-115353.70999999999,-2146.789999999999,2146.789999999999
NRP-M,202404,-192870.36,-190876.22999999998,-1994.1299999999999,1994.1299999999999
NRP-L,202412,-3100.69,-1321.92,-1778.77,1778.77
NON PRIME,202502,-635398.6799999999,-633729.79,-1668.8899999999994,1668.8899999999994
PRIME,202504,-1355.06,-126.18,-1228.8799999999999,1228.8799999999999
NRP-L,202501,-3122.5199999999995,-1962.7,-1159.8200000000002,1159.8200000000002
NON PRIME,202410,-376276.07,-375465.89,-810.1800000000003,810.1800000000003
NRP-L,202509,-847.2099999999999,-175.42,-671.79,671.79
PRIME,202509,0.0,-607.19,607.19,607.19
NRP-L,202502,-3802.7200000000003,-3409.29,-393.42999999999995,393.42999999999995
NRP-L,202508,-1118.4499999999998,-1463.45,345.0,345.0
PRIME,202508,-956.65,-770.95,-185.7,185.7
PRIME,202405,-28.880000000000003,-168.73000000000002,139.85000000000002,139.85000000000002
NRP-L,202505,-473.49,-358.03999999999996,-115.45,115.45
PRIME,202507,-336.4,-229.72,-106.68,106.68
PRIME,202409,-893.02,-941.47,48.45,48.45
PRIME,202407,-328.01,-355.26,27.25,27.25
NRP-L,202506,-917.8199999999999,-919.6700000000001,1.8499999999999943,1.8499999999999943
